Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validate Voting Feature,Chrome 118.0.0.0,,,2023-10-18 03:51:38,2023-10-18 03:52:17,39.028s,PASSED
,,,,,,,
Test Cases/Voting Feature/Validate - Voting feature,Chrome 118.0.0.0,,,2023-10-18 03:51:39,2023-10-18 03:52:17,38.791s,PASSED
Start listener action : enableSauceLabs,Chrome 118.0.0.0,,,2023-10-18 03:51:39,2023-10-18 03:51:39,0.016s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-18 03:51:39,2023-10-18 03:51:41,2.124s,PASSED
"navigateToUrl(""https://www.squishable.com//index.html"")",Chrome 118.0.0.0,,,2023-10-18 03:51:41,2023-10-18 03:52:03,21.944s,PASSED
"click(findTestObject(""Object Repository/Page_Squishable Hug Something/div_PARTICIPATE_u-icon-chevron-down""))",Chrome 118.0.0.0,,,2023-10-18 03:52:03,2023-10-18 03:52:08,5.315s,PASSED
"click(findTestObject(""Object Repository/Page_Squishable Vote/img_SCORE_x-product-list__image""))",Chrome 118.0.0.0,,,2023-10-18 03:52:08,2023-10-18 03:52:13,5.206s,PASSED
"setText(findTestObject(""Object Repository/Page_squishable.com Squishable Gingerbone Man/input_SCORE_wait_email""), ""ebencilin.chandradhas@gmail.com"")",Chrome 118.0.0.0,,,2023-10-18 03:52:13,2023-10-18 03:52:15,1.185s,PASSED
"click(findTestObject(""Object Repository/Page_squishable.com Squishable Gingerbone Man/input_SCORE_waiting""))",Chrome 118.0.0.0,,,2023-10-18 03:52:15,2023-10-18 03:52:17,1.901s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-18 03:52:17,2023-10-18 03:52:17,0.755s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 118.0.0.0,,,2023-10-18 03:52:17,2023-10-18 03:52:17,0.000s,PASSED
